번호,제목,첨부,부서명,작성일
2262,[스리랑카] 스리랑카 항공 주관의 케이터링 입찰공고 9건 안내 ('24.12.10.마감),,유럽경제외교과,2024-11-05
2261,[스리랑카] 스리랑카 국영제약사 입찰정보 14건 안내 ('24.11.26.마감),,유럽경제외교과,2024-11-05
2260,[스리랑카] 스리랑카 국방부(공군) 입찰 정보 안내 ('24.11.26.마감),,유럽경제외교과,2024-11-05
2259,[홍콩] 입찰정보(2024-44),,유럽경제외교과,2024-11-04
2258,[홍콩] 입찰정보(2024-43),,유럽경제외교과,2024-10-29
2257,[스리랑카] 스리랑카 국방부(헬리콥터 부속품) 입찰 정보('24.12.02.마감) 안내,,유럽경제외교과,2024-10-28
2256,[스리랑카] 스리랑카 국영기업 실론 석유저장 터미널 공사 입찰 정보('24.12.05.마감) 안내,,유럽경제외교과,2024-10-28
2255,[코스타리카] 코스타리카 Puntarenas 지역 교량 설계 및 건설사업 입찰 공고,,유럽경제외교과,2024-10-28
2254,[스리랑카] 스리랑카 국영제약사 입찰정보 6건('24.11.24.마감) 안내,,유럽경제외교과,2024-10-25
2253,[스리랑카] 스리랑카 항공 주관의 케이터링 입찰공고 2건('24.12.3.마감) 안내,,유럽경제외교과,2024-10-25
2252,[아제르바이잔] 입찰정보('24.10.14.~20.),,유럽경제외교과,2024-10-23
2251,[아제르바이잔] 입찰정보('24.10.07.~13.),,유럽경제외교과,2024-10-23
2250,[아제르바이잔] 입찰정보('24.09.30.~10.06.),,유럽경제외교과,2024-10-23
2249,[아제르바이잔] 입찰정보('24.09.23.~29.),,유럽경제외교과,2024-10-23
2248,[홍콩] 입찰정보(2024-42),,유럽경제외교과,2024-10-23
2247,[중국] 입찰정보(2024. 10월 1차),,유럽경제외교과,2024-10-21
2246,[홍콩] 입찰정보(2024-41),,유럽경제외교과,2024-10-15
2245,[케냐] 입찰정보(2024-34),,유럽경제외교과,2024-10-10
2244,[홍콩] 입찰정보(2024-40),,유럽경제외교과,2024-10-08
2243,[몽골] 몽골 울란바트라 대용량 대중교통 메트로 건설 입찰 공고,,유럽경제외교과,2024-10-04
2242,[케냐] 입찰정보(2024-33),,유럽경제외교과,2024-10-04
2241,[홍콩] 입찰정보(2024-39),,유럽경제외교과,2024-09-30
2240,[케냐] 입찰정보(2024-32),,유럽경제외교과,2024-09-25
2239,[아제르바이잔] 입찰정보('24.09.16.~22.),,유럽경제외교과,2024-09-24
2238,[아제르바이잔] 입찰정보('24.09.09.-15.),,유럽경제외교과,2024-09-24
2237,[아제르바이잔] 입찰정보('24.09.02.~08.),,유럽경제외교과,2024-09-24
2236,[홍콩] 입찰정보(2024-38),,유럽경제외교과,2024-09-24
2235,[홍콩] 입찰정보(2024-37),,유럽경제외교과,2024-09-20
2234,[덴마크] 입찰정보 2024-19,,유럽경제외교과,2024-09-19
2233,[중국] 입찰정보(2024. 9월 1차),,유럽경제외교과,2024-09-13
2232,[홍콩] 입찰정보(2024-36),,유럽경제외교과,2024-09-12
2231,[아제르바이잔] 입찰정보('24.08.26.~09.01.),,유럽경제외교과,2024-09-05
2230,[아제르바이잔] 입찰정보('24.08.19.~25.),,유럽경제외교과,2024-09-05
2229,[아제르바이잔] 입찰정보('24.08.12.~18.),,유럽경제외교과,2024-09-05
2228,[덴마크] 입찰정보 2024-18,,유럽경제외교과,2024-09-04
2227,[홍콩] 입찰정보(2024-35),,유럽경제외교과,2024-09-02
2226,[중국] 입찰정보(2024. 8월 1차),,유럽경제외교과,2024-08-26
2225,[홍콩] 입찰정보(2024-34),,유럽경제외교과,2024-08-23
2224,[덴마크] 입찰정보 2024-17,,유럽경제외교과,2024-08-23
2223,[남아공] 가스 인프라 입찰 동향,,유럽경제외교과,2024-08-21
2222,[홍콩] 입찰정보(2024-33),,유럽경제외교과,2024-08-20
2221,[덴마크] 입찰정보 2024-16,,유럽경제외교과,2024-08-14
2220,[케냐] 입찰정보(2024-31),,유럽경제외교과,2024-08-14
2219,[아제르바이잔] 입찰정보('24.08.05.~11.),,유럽경제외교과,2024-08-14
2218,[아제르바이잔] 입찰정보('24.07.29.~08.04.),,유럽경제외교과,2024-08-14
2217,[아제르바이잔] 입찰정보('24.07.22.~28.),,유럽경제외교과,2024-08-14
2216,[아제르바이잔] 입찰정보('24.07.15.~21.),,유럽경제외교과,2024-08-14
2215,[홍콩] 입찰정보(2024-32),,유럽경제외교과,2024-08-12
2214,[포르투갈] 포르투갈 인프라공단 고속철도 1-B단계 건설·운영 국제 경쟁입찰 공고,,유럽경제외교과,2024-08-12
2213,"[폴란드] 신공항사, 고속철도 건설(Y 노선 중 우치 터널) 관련 입찰공고",,유럽경제외교과,2024-08-12
2212,[덴마크] 입찰정보 2024-15,,유럽경제외교과,2024-08-09
2211,[케냐] 입찰정보(2024-30),,유럽경제외교과,2024-08-06
2210,[홍콩] 입찰정보(2024-31),,유럽경제외교과,2024-08-05
2209,[덴마크] 입찰정보 2024-14,,유럽경제외교과,2024-07-30
2208,[케냐] 입찰 정보 (2024-29),,유럽경제외교과,2024-07-30
2207,[홍콩] 입찰정보(2024-30),,유럽경제외교과,2024-07-26
2206,[중국] 입찰정보(2024. 7월 1차),,유럽경제외교과,2024-07-26
2205,[덴마크] 입찰정보 2024-13,,유럽경제외교과,2024-07-25
2204,[덴마크] 입찰정보 2024-12,,유럽경제외교과,2024-07-25
2203,[케냐] 입찰 정보 (2024-28),,유럽경제외교과,2024-07-23
2202,[홍콩] 입찰정보(2024-29),,유럽경제외교과,2024-07-22
2201,[우즈베키스탄] 급수 및 위생 시스템 개발 및 기관 역량 강화,,유럽경제외교과,2024-07-22
2200,[브라질] 브라질 내 인프라 개선을 위한 정부 입찰 정보,,유럽경제외교과,2024-07-19
2199,"유엔 사무국 조달과, 유엔 항공수송 계약 입찰 참여 요청",,유럽경제외교과,2024-07-17
2198,[케냐] 입찰 정보 (2024-27),,유럽경제외교과,2024-07-17
2197,[아제르바이잔] 입찰정보('24.07.08.-14.),,유럽경제외교과,2024-07-16
2196,[아제르바이잔] 입찰정보('24.07.01.-07.),,유럽경제외교과,2024-07-16
2195,[아제르바이잔] 입찰정보('24.06.17.-30.),,유럽경제외교과,2024-07-16
2194,[홍콩] 입찰정보(2024-28),,유럽경제외교과,2024-07-16
2193,[홍콩] 입찰정보(2024-27),,유럽경제외교과,2024-07-10
2192,[케냐] 입찰 정보 (2024-26),,유럽경제외교과,2024-07-09
2191,[홍콩] 입찰정보(2024-26),,유럽경제외교과,2024-07-05
2190,[홍콩] 입찰정보(2024-25),,유럽경제외교과,2024-07-05
2189,[케냐] 입찰 정보 (2024-25),,유럽경제외교과,2024-07-04
2188,[덴마크] 입찰정보 2024-10,,유럽경제외교과,2024-07-02
2187,[케냐] 입찰 정보 (2024-24),,유럽경제외교과,2024-06-27
2186,[중국] 입찰정보(2024. 6월 1차),,유럽경제외교과,2024-06-25
2185,[아제르바이잔] 입찰정보('24.06.10.-16.),,유럽경제외교과,2024-06-25
2184,[아제르바이잔] 입찰정보('24.06.03.-09.),,유럽경제외교과,2024-06-25
2183,[아제르바이잔] 입찰정보('24.05.27.-06.02.),,유럽경제외교과,2024-06-25
2182,[태국] 해외 입찰정보(0.25바트 동전 전자입찰),,유럽경제외교과,2024-06-20
2181,[케냐] 입찰 정보 (2024-23),,유럽경제외교과,2024-06-19
2180,[덴마크] 입찰정보 2024-09,,유럽경제외교과,2024-06-18
2179,[홍콩] 입찰정보(2024-24),,유럽경제외교과,2024-06-17
2178,[덴마크] 입찰정보 2024-08,,유럽경제외교과,2024-06-14
2177,[케냐] 입찰 정보 (2024-22),,유럽경제외교과,2024-06-12
2176,[덴마크] 입찰정보 2024-07,,유럽경제외교과,2024-06-11
2175,[홍콩] 입찰정보(2024-23),,유럽경제외교과,2024-06-11
2174,[케냐] 입찰 정보 (2024-21),,유럽경제외교과,2024-06-07
2173,[태국] 해외 입찰정보(10바트 동전 전자입찰),,유럽경제외교과,2024-06-04
2172,[태국] 해외 입찰정보(2바트 동전 전자입찰),,유럽경제외교과,2024-06-04
2171,[홍콩] 입찰정보(2024-22),,유럽경제외교과,2024-05-31
2170,[덴마크] 입찰정보 2024-06,,유럽경제외교과,2024-05-30
2169,[홍콩] 입찰정보(2024-21),,유럽경제외교과,2024-05-30
2168,[중국] 입찰정보(2024. 5월 1차),,유럽경제외교과,2024-05-27
2167,[케냐] Kenya Airport Authority 입찰정보 업데이트 (입찰시한 연장),,유럽경제외교과,2024-05-27
2166,[홍콩] 입찰정보(2024-20),,유럽경제외교과,2024-05-21
2165,[케냐] 입찰 정보 (2024-20),,유럽경제외교과,2024-05-21
2164,[케냐] 입찰 정보(2024-19),,유럽경제외교과,2024-05-17
2163,[케냐] 입찰정보(2024-18),,유럽경제외교과,2024-05-17
2162,[아제르바이잔] 입찰정보('24.04.22.-28.),,유럽경제외교과,2024-05-17
2161,[아제르바이잔] 입찰정보('24.04.08.-21.),,유럽경제외교과,2024-05-17
2160,[태국] 해외 입찰정보(50사땅 동전 전자입찰),,유럽경제외교과,2024-05-16
2159,[태국] 해외 입찰정보(1바트 동전 전자입찰),,유럽경제외교과,2024-05-16
2158,[홍콩] 입찰정보(2024-19),,유럽경제외교과,2024-05-13
2157,[우즈베키스탄] Electricity Sector Transformation and Resilient Transmission (ESTART),,유럽경제외교과,2024-05-09
2156,[홍콩] 입찰정보(2024-18),,유럽경제외교과,2024-05-07
2155,[케냐] 입찰정보 (2024-17),,유럽경제외교과,2024-05-02
2154,[홍콩] 입찰정보(2024-17),,유럽경제외교과,2024-04-29
2153,[케냐] 입찰정보 (2024-16),,유럽경제외교과,2024-04-25
2152,[홍콩] 입찰정보(2024-16),,유럽경제외교과,2024-04-22
2151,[케냐] 입찰 정보 (2024-15),,유럽경제외교과,2024-04-18
2150,[덴마크] 입찰정보 2024-04,,유럽경제외교과,2024-04-18
2149,[홍콩] 입찰정보(2024-15),,유럽경제외교과,2024-04-15
2148,[케냐] 입찰정보(2024-14),,유럽경제외교과,2024-04-11
2147,[홍콩] 입찰정보(2024-14),,유럽경제외교과,2024-04-11
2146,[중국] 입찰정보(2024. 4월 1차),,유럽경제외교과,2024-04-11
2145,[케냐] 입찰정보(2024-13),,유럽경제외교과,2024-04-05
2144,[포르투갈] 해군 군수지원함 입찰 공고,,유럽경제외교과,2024-04-02
2143,[포르투갈] 리스본 지하철 경전철 사업 국제경쟁입찰 공고,,유럽경제외교과,2024-04-02
2142,[홍콩] 입찰정보(2024-13),,유럽경제외교과,2024-04-01
2141,[케냐] 입찰정보(2024-12),,유럽경제외교과,2024-03-26
2140,[코스타리카] 풍력발전소 건설사업 입찰 공고,,유럽경제외교과,2024-03-22
2139,[중국] 입찰정보(2024. 3월 1차),,유럽경제외교과,2024-03-22
2138,[오만] 풍력 발전 프로젝트 입찰 예고,,유럽경제외교과,2024-03-20
2137,[케냐] 입찰정보(2024-11),,유럽경제외교과,2024-03-20
2136,[케냐] 입찰정보(2024-10),,유럽경제외교과,2024-03-13
2135,[홍콩] 입찰정보(2024-9),,유럽경제외교과,2024-03-06
2134,[케냐] 입찰정보(2024-9),,유럽경제외교과,2024-03-06
2133,[케냐] 입찰정보(2024-8),,유럽경제외교과,2024-02-28
2132,[아제르바이잔] 입찰정보('24.02.19.-23.),,유럽경제외교과,2024-02-27
2131,[아제르바이잔] 입찰정보('24.02.12.-16.),,유럽경제외교과,2024-02-27
2130,[아제르바이잔] 입찰정보('24.02.02.-09.),,유럽경제외교과,2024-02-27
2129,[아제르바이잔] 입찰정보('24.01.29.-02.02.),,유럽경제외교과,2024-02-27
2128,[홍콩] 입찰정보(2024-8),,유럽경제외교과,2024-02-26
2127,[케냐] 입찰정보(2024-7),,유럽경제외교과,2024-02-21
2126,[중국] 입찰정보(2024. 2월 1차),,유럽경제외교과,2024-02-21
2125,[홍콩] 입찰정보(2024-7),,유럽경제외교과,2024-02-19
2124,[케냐] 입찰정보(2024-6),,유럽경제외교과,2024-02-15
2123,[홍콩] 입찰정보(2024-6),,유럽경제외교과,2024-02-13
2122,[케냐] 입찰정보(2024-5),,유럽경제외교과,2024-02-07
2121,[홍콩] 입찰정보(2024-5),,유럽경제외교과,2024-02-05
2120,[아제르바이잔] 입찰정보('24.01.22.-28.),,유럽경제외교과,2024-01-31
2119,[중국] 입찰정보(2024. 1월 1차),,유럽경제외교과,2024-01-31
2118,[케냐] 입찰정보(24.01.30.),,유럽경제외교과,2024-01-31
2117,[폴란드] 폴란드 철도 차량 관련 입찰 동향,,유럽경제외교과,2024-01-30
2116,[홍콩] 입찰정보(2024-4),,유럽경제외교과,2024-01-30
2115,[케냐] 입찰정보(24.01.22.),,유럽경제외교과,2024-01-24
2114,[칠레] 칠레 코킴보(Coquimbo) 지역 담수화 플랜트 입찰 계획 발표,,유럽경제외교과,2024-01-24
2113,[홍콩] 입찰정보(2024-3),,유럽경제외교과,2024-01-22
2112,[포르투갈] 입찰 정보 (고속철도 건설·운영사업 국제경쟁입찰 공고),,유럽경제외교과,2024-01-18
2111,[케냐] 입찰정보(24.01.09.),,유럽경제외교과,2024-01-18
2110,[스리랑카] 입찰정보,,유럽경제외교과,2024-01-16
2109,"[폴란드] 입찰정보(신공항사, BHS 관련 입찰공고)",,유럽경제외교과,2024-01-15
2108,[홍콩] 입찰정보(2024-2),,유럽경제외교과,2024-01-15
2107,[케냐] 입찰정보(24.01.09.),,유럽경제외교과,2024-01-12
2106,[스리랑카] 입찰정보,,유럽경제외교과,2024-01-12
2105,[홍콩] 입찰정보(2024-1),,유럽경제외교과,2024-01-05
2104,[아제르바이잔] 입찰정보(2023.12.25.-31.),,유럽경제외교과,2024-01-03
2103,[아제르바이잔] 입찰정보(2023.12.18.-24.),,유럽경제외교과,2024-01-03
2102,[아제르바이잔] 입찰정보(2023.12.11.-17.),,유럽경제외교과,2024-01-03
2101,[아제르바이잔] 입찰정보(2023.12.04.-10.),,유럽경제외교과,2024-01-03
2100,[홍콩] 입찰정보(2023-52),,유럽경제외교과,2024-01-02
2099,[홍콩] 입찰정보(2023-51),,유럽경제외교과,2023-12-27
2098,[중국] 입찰정보(2023.12월 1차),,유럽경제외교과,2023-12-19
2097,[홍콩] 입찰정보(2023-50),,유럽경제외교과,2023-12-19
2096,[스리랑카] 입찰정보 2건,,유럽경제외교과,2023-12-15
2095,[홍콩] 입찰정보(2023-49),,유럽경제외교과,2023-12-12
2094,[홍콩] 입찰정보(2023-48),,유럽경제외교과,2023-12-12
2093,[아제르바이잔] 입찰정보(2023.11.27.-12.03.),,유럽경제외교과,2023-12-06
2092,[아제르바이잔] 입찰정보(2023.11.20.-26.),,유럽경제외교과,2023-12-06
2091,[아제르바이잔] 입찰정보(2023.11.06.-19.),,유럽경제외교과,2023-12-06
2090,[아제르바이잔] 입찰정보(2023.10.30.-11.05.),,유럽경제외교과,2023-12-06
2089,[아제르바이잔] 입찰정보(2023.10.23.-10.29.),,유럽경제외교과,2023-12-06
2088,[케냐] 입찰정보(12.04.),,유럽경제외교과,2023-12-05
2087,[사우디] 아브하(Abha) 국제공항 확장 추진 동향,,유럽경제외교과,2023-11-30
2086,[케냐] 입찰정보(11.27.),,유럽경제외교과,2023-11-28
2085,[홍콩] 입찰정보(2023-45),,유럽경제외교과,2023-11-27
2084,[케냐] 입찰정보(11.20.),,유럽경제외교과,2023-11-24
2083,[가나] 에너지 관련 입찰 정보(태양광 발전 기반 요금상계제도 구축 사업 관련 스마트 전기계량기 조달),,유럽경제외교과,2023-11-24
2082,[루마니아] 입찰정보(단거리 및 초단거리 대공방어시스템),,유럽경제외교과,2023-11-22
2081,[중국] 입찰정보(2023.11월 1차),,유럽경제외교과,2023-11-22
2080,[케냐] 입찰정보,,유럽경제외교과,2023-11-16
2079,[덴마크] 입찰정보(2023-18),,유럽경제외교과,2023-11-15
2078,[스리랑카] 입찰정보,,유럽경제외교과,2023-11-13
2077,[케냐] 입찰정보,,유럽경제외교과,2023-11-08
2076,[파라과이] 공공사업통신부 주요 인프라 사업계획 발표,,유럽경제외교과,2023-11-07
2075,[홍콩] 입찰정보(2023-44),,유럽경제외교과,2023-11-03
2074,[덴마크] 입찰정보(2023-17),,유럽경제외교과,2023-11-02
2073,[중국] 입찰정보(2023.10월 2차),,유럽경제외교과,2023-11-02
2072,[포르투갈] 입찰 정보 (해상풍력 발전사업-사업 입찰 의향 제출 개시),,유럽경제외교과,2023-11-02
2071,[케냐] 입찰정보,,유럽경제외교과,2023-11-01
2070,[케냐] 입찰정보,,유럽경제외교과,2023-11-01
2069,[아제르바이잔] 입찰정보(2023.10.16.-22.),,유럽경제외교과,2023-10-31
2068,[홍콩] 입찰정보(2023-43),,유럽경제외교과,2023-10-30
2067,[아제르바이잔] 입찰정보(2023.10.09.-15.),,유럽경제외교과,2023-10-30
2066,[아제르바이잔] 입찰정보(2023.10.09.-15.),,유럽경제외교과,2023-10-30
2065,[아제르바이잔] 입찰정보(2023.10.02.-08.),,유럽경제외교과,2023-10-27
2064,[아제르바이잔] 입찰정보(2023.09.25-10.01.),,유럽경제외교과,2023-10-26
2063,[아제르바이잔] 입찰정보(2023.9.4-9.10),,유럽경제외교과,2023-10-25
2062,[중국] 입찰정보(2023.10월 1차),,유럽경제외교과,2023-10-23
2061,[홍콩] 입찰정보(2023-42),,유럽경제외교과,2023-10-23
2060,[덴마크] 입찰정보(2023-16),,유럽경제외교과,2023-10-18
2059,[홍콩] 입찰정보(2023-41),,유럽경제외교과,2023-10-16
2058,[스리랑카] 입찰정보,,유럽경제외교과,2023-10-10
2057,[홍콩] 입찰정보(2023-40),,유럽경제외교과,2023-10-10
2056,[홍콩] 입찰정보(2023-39),,유럽경제외교과,2023-10-04
2055,[홍콩] 입찰정보(2023-38),,유럽경제외교과,2023-10-04
2054,[스리랑카] 입찰정보2,,유럽경제외교과,2023-09-19
2053,[스리랑카] 입찰정보,,유럽경제외교과,2023-09-19
2052,[홍콩] 입찰정보(2023-37),,유럽경제외교과,2023-09-15
2051,[케냐] 입찰정보,,유럽경제외교과,2023-09-13
2050,[홍콩] 입찰정보(2023-36),,유럽경제외교과,2023-09-12
2049,[아제르바이잔] 입찰정보(2023.9.4-9.10),,유럽경제외교과,2023-09-12
2048,[아제르바이잔] 입찰정보(2023.8.21-8.27),,유럽경제외교과,2023-09-05
2047,[홍콩] 입찰정보(2023-35),,유럽경제외교과,2023-09-05
2046,[카메룬] 입찰정보(관개시설 복구 및 신규 펌핑장 SP4 신설),,유럽경제외교과,2023-08-31
2045,[홍콩] 입찰정보(2023-34),,유럽경제외교과,2023-08-29
2044,[엘살바도르] 입찰정보,,유럽경제외교과,2023-08-25
2043,[홍콩] 입찰정보(2023-33),,유럽경제외교과,2023-08-23
2042,[홍콩] 입찰정보(2023-32),,유럽경제외교과,2023-08-14
2041,[홍콩] 입찰정보(2023-30),,유럽경제외교과,2023-08-07
2040,[덴마크] 입찰정보(덴마크 가스전 소규모 공개입찰),,유럽경제외교과,2023-07-27
2039,[홍콩] 입찰정보(2023-29),,유럽경제외교과,2023-07-26
2038,[홍콩] 입찰정보(2023-28),,유럽경제외교과,2023-07-17
2037,[홍콩] 입찰정보(2023-27),,유럽경제외교과,2023-07-10
2036,[홍콩] 입찰정보(2023-26),,유럽경제외교과,2023-06-30
2035,[홍콩] 입찰정보(2023-25),,유럽경제외교과,2023-06-30
2034,[라트비아] 입찰정보,,유럽경제외교과,2023-06-22
2033,[홍콩] 입찰정보(2023-24),,유럽경제외교과,2023-06-16
2032,[홍콩] 입찰정보(20023-23),,유럽경제외교과,2023-06-14
2031,[홍콩] 입찰정보(2023-22),,유럽경제외교과,2023-06-05
2030,[홍콩] 입찰정보(2023-21),,유럽경제외교과,2023-05-30
2029,[우루과이] 입찰정보,,유럽경제외교과,2023-05-25
2028,[라트비아] 입찰정보,,유럽경제외교과,2023-05-22
2027,[홍콩] 입찰정보(2023-20),,유럽경제외교과,2023-05-19
2026,[홍콩] 입찰정보(2023-18),,유럽경제외교과,2023-05-09
2025,[홍콩] 입찰정보(2023-17),,유럽경제외교과,2023-04-28
2024,[홍콩] 입찰정보(2023-16),,유럽경제외교과,2023-04-24
2023,[홍콩] 입찰정보(2023-15),,유럽경제외교과,2023-04-18
2022,[홍콩] 입찰정보(2023-13),,유럽경제외교과,2023-04-03
2021,[홍콩] 입찰정보(2023-11),,유럽경제외교과,2023-03-20
2020,[홍콩] 입찰정보(2023-09),,유럽경제외교과,2023-03-06
2019,[라트비아] 레일 발티카(Rail Baltica)프로젝트 내 시스템 구축 관련 입찰,,유럽경제외교과,2023-02-28
2018,[코스타리카] 입찰정보(산호세 광역수도권 고속여객열차 1호선 사업 컨설팅),,유럽경제외교과,2023-02-21
2017,[홍콩] 입찰정보(2023-07),,유럽경제외교과,2023-02-21
2016,[덴마크] 입찰정보(2023-04),,유럽경제외교과,2023-02-15
2015,[포르투갈] 입찰 정보(해상풍력 발전사업-예비제안서),,유럽경제외교과,2023-02-14
2014,[아제르바이젠] 입찰정보,,유럽경제외교과,2023-02-14
2013,[홍콩] 입찰정보(2023-06),,유럽경제외교과,2023-02-10
2012,[홍콩] 입찰정보(2023-05),,유럽경제외교과,2023-02-09
2011,[포르투갈] 북부 포르투시 간선급행버스 차량 공급 입찰 공고,,유럽경제외교과,2023-02-06
2010,[덴마크] 입찰정보(2023-03),,유럽경제외교과,2023-02-01
2009,[가나] 입찰 정보(테마산업단지 천연가스 배관망 기본설계 컨설턴트 선정),,유럽경제외교과,2023-01-31
2008,[홍콩] 입찰정보(2023-04),,유럽경제외교과,2023-01-30
2007,[폴란드] 입찰정보,,유럽경제외교과,2023-01-30
2006,[덴마크] 주요 입찰정보(2023-02),,유럽경제외교과,2023-01-25
2005,[홍콩] 입찰정보(2023-03),,유럽경제외교과,2023-01-20
2004,[폴란드] 입찰정보,,유럽경제외교과,2023-01-16
2003,[홍콩] 입찰정보(2023-1),,양자경제외교총괄과,2023-01-09
2002,[홍콩] 입찰정보(2022-51),,양자경제외교총괄과,2022-12-28
2001,[홍콩] 입찰정보(2022-50),,양자경제외교총괄과,2022-12-23
2000,[니카라과] 입찰정보,,양자경제외교총괄과,2022-12-19
1999,[니카라과] 입찰정보,,양자경제외교총괄과,2022-12-14
1998,[홍콩] 입찰정보(2022-49),,양자경제외교총괄과,2022-12-09
1997,[가봉] 입찰정보,,양자경제외교총괄과,2022-12-02
1996,[코스타리카] 입찰정보(다량 급수용 수도 미터기(수자원관리청)),,양자경제외교총괄과,2022-12-02
1995,[홍콩] 입찰정보(2022-47),,양자경제외교총괄과,2022-11-28
1994,[홍콩] 입찰정보(2022-46),,양자경제외교총괄과,2022-11-21
1993,[스리랑카] 입찰정보(실론 석유저장 터미널 공사),,양자경제외교총괄과,2022-11-17
1992,[카메룬] 입찰정보(두알라항구 프로젝트),,양자경제외교총괄과,2022-11-15
1991,[홍콩] 입찰정보(2022-45),,양자경제외교총괄과,2022-11-11
1990,[홍콩] 입찰정보(2022-44),,양자경제외교총괄과,2022-11-04
1989,[니카라과] 입찰정보(Corinto시 우회도로 건설 감리),,양자경제외교총괄과,2022-10-28
1988,[홍콩] 입찰정보(2022-42),,양자경제외교총괄과,2022-10-21
1987,[스리랑카] 입찰정보(의약품),,양자경제외교총괄과,2022-10-18
1986,[카자흐스탄] 입찰정보(콕셰타우市 열병합 발전소),,양자경제외교총괄과,2022-10-14
1985,[홍콩] 입찰정보(2022-41),,양자경제외교총괄과,2022-10-14
1984,[페루] 입찰정보(페루 경찰청 운영능력 강화를 위한 전략 자산 G2G 입찰),,양자경제외교총괄과,2022-10-07
1983,[홍콩] 입찰정보(2022-40),,양자경제외교총괄과,2022-10-07
1982,[홍콩] 입찰정보(2022-39),,양자경제외교총괄과,2022-10-06
1981,[카자흐스탄] 에너지‧자원 입찰개요 및 참여방법,,양자경제외교총괄과,2022-09-30
1980,[홍콩] 입찰정보(2022-38),,양자경제외교총괄과,2022-09-26
1979,[홍콩] 입찰정보(2022-37),,양자경제외교총괄과,2022-09-19
1978,[엘살바도르] 로스초로스 교량 및 도로확장 건설사업 입찰공고,,양자경제외교총괄과,2022-09-15
1977,[홍콩] 입찰정보(2022-36),,양자경제외교총괄과,2022-09-13
1976,[루마니아] 입찰정보(휴대용 지대공 미사일),,양자경제외교총괄과,2022-09-13
1975,[칠레] 입찰정보,,양자경제외교총괄과,2022-09-05
1974,[홍콩] 입찰정보(2022-35),,양자경제외교총괄과,2022-09-05
1973,[니카라과] 입찰정보,,양자경제외교총괄과,2022-08-31
1972,[홍콩] 입찰정보(2022-34),,양자경제외교총괄과,2022-08-31
1971,[스리랑카] 입찰정보(태양력 발전소),,양자경제외교총괄과,2022-08-30
1970,[코트디브아르] 주요 입찰정보,,양자경제외교총괄과,2022-08-24
1969,[홍콩] 입찰정보(2022-33),,양자경제외교총괄과,2022-08-23
1968,[니카라과] 입찰정보(402개 프로젝트 설계 및 예산 수립 입찰),,양자경제외교총괄과,2022-08-23
1967,[홍콩] 입찰정보(2022-32),,양자경제외교총괄과,2022-08-18
1966,[홍콩] 입찰정보(2022-30),,양자경제외교총괄과,2022-08-01
1965,[니카라과] 입찰정보(CNDC(전력중개 및 전력시장 관리) 프로젝트 외부 감리),,양자경제외교총괄과,2022-07-29
1964,[코스타리카] 디지털재정통합시스템(Project Director 채용),,양자경제외교총괄과,2022-07-25
1963,[홍콩] 입찰정보(2022-29),,양자경제외교총괄과,2022-07-25
1962,[홍콩] 입찰정보(2022-28),,양자경제외교총괄과,2022-07-19
1961,[홍콩] 입찰정보(2022-27),,양자경제외교총괄과,2022-07-11
1960,[홍콩] 입찰정보(2022-26),,양자경제외교총괄과,2022-07-04
